Team,Position,Played,Wins,Draws,Losses,GF,GA,GD,Points,Location,Kit Supplier,Shirt Sponsor,Stadium,Capacity,Win %
Enugu Rangers,1,38,21,7,10,56,33,23,70,Enugu,Cone Sport,"Afrinvest,Shopurban, Senior Barman",Nnamdi Azikiwe Stadium,22000,55.26
Remo Stars,2,38,20,5,13,53,39,14,65,Ikenne,Cone Sport,Bet9ja,Remo Stars Stadium,5000,52.63
Enyimba,3,38,19,6,13,46,33,13,63,Aba,KK,"Stake.com, United Nigeria Airlines",Enyimba International Stadium,16000,50.0
Shooting Stars,4,38,18,8,12,48,34,14,62,Ibadan,Cone Sport,Peculiar,Adamasingba Stadium,10000,47.37
Plateau United,5,38,18,4,16,53,40,13,58,Jos,Kapspor,_,New Jos Stadium,60000,47.37
Lobi Stars,6,38,17,7,14,48,45,3,58,Makurdi,Owu,_,Lafia Township Stadium[c],10000,44.74
Katsina United,7,38,15,10,13,42,39,3,55,Katsina,Owu,_,Muhammadu Dikko Stadium,35000,39.47
Rivers United,8,38,15,8,15,51,42,9,53,Port Harcourt,Owu,_,Adokiye Amiesimaka Stadium,40000,39.47
Bendel Insurance,9,38,14,11,13,32,30,2,53,Benin City,Fourteen,Sterling Bank,Samuel Ogbemudia Stadium,12000,36.84
Sunshine Stars,10,38,13,13,12,37,37,0,52,Akure,Cone Sport,_,Akure Township Stadium,5000,34.21
Kano Pillars,11,38,15,7,16,49,50,-1,52,Kano,Play,Rambo,Sani Abacha Stadium,16000,39.47
Abia Warriors,12,38,15,7,16,42,45,-3,52,Umuahia,Owu,Eunisell,Umuahia Township StadiumEnyimba International Stadium[a],5000,39.47
Kwara United,13,38,12,15,11,38,37,1,51,Ilorin,Owu,_,Kwara State Stadium,18000,31.58
Niger Tornadoes,14,38,14,9,15,38,41,-3,51,Minna,Cone Sport,_,Ahmadu Bello Stadium [d],16000,36.84
Bayelsa United,15,38,13,11,14,46,50,-4,50,Yenagoa,GDF,_,Samson Siasia Stadium,5000,34.21
Akwa United,16,38,14,7,17,44,42,2,49,Uyo,Owu,1xBet,Godswill Akpabio StadiumEket Stadium,30000,36.84
Sporting Lagos,17,38,12,10,16,39,44,-5,46,Lagos,Umbro,"Klasha, Choplife",Onikan Stadium,10000,31.58
Doma United,18,38,11,11,16,26,42,-16,44,Gombe,Cone Sport,_,Pantami Stadium,12000,28.95
Heartland,19,38,9,11,18,36,50,-14,38,Owerri,_,_,Dan Anyiam StadiumAwka City Stadium[b],10000,23.68
Gombe United,20,38,8,7,23,21,78,-57,25,Gombe,Cone Sport,_,Pantami Stadium,12000,21.05
